,Query,Ground Truth (GT),Prediction (Pred),Exact Match
0,"From the latest report of Genentech, tell me the key highlights of the company.","{'management_level': [], 'title': []}","{'management_level': [], 'title': ['Chief Executive Officer']}",No
1,Director of Human-AI Collaboration,"{'management_level': [], 'title': ['Director of Human-AI Collaboration']}","{'management_level': ['Director'], 'title': ['Human-AI Collaboration']}",No
2,Identify junior roles in cloud services.,"{'management_level': ['Junior'], 'title': []}","{'management_level': ['Junior'], 'title': ['Cloud Services']}",No
3,List all senior engineers in robotics innovation labs.,"{'management_level': ['Senior (Individual Contributor)'], 'title': []}","{'management_level': ['Senior (Individual Contributor)'], 'title': ['Senior Engineer']}",No
4,Director Mental Health Programs,"{'management_level': [], 'title': ['Director of Mental Health Programs']}","{'management_level': ['Director'], 'title': ['Director of Mental Health Programs']}",No
5,Leaders of top energy companies in the US.,"{'management_level': ['CSuite and President'], 'title': []}","{'management_level': ['CSuite and President'], 'title': ['Founder']}",No
6,VP Planetary Science,"{'management_level': [], 'title': ['VP of Planetary Science', 'Vice President of Planetary Science']}","{'management_level': ['VP'], 'title': ['VP of Planetary Science']}",No
7,VP Construction Innovation,"{'management_level': [], 'title': ['VP of Construction Innovation', 'Vice President of Construction Innovation']}","{'management_level': ['VP'], 'title': ['VP of Construction Innovation']}",No
8,Directors or managers leading innovation projects in IT.,"{'management_level': ['Director', 'Manager'], 'title': ['Director of Innovation', 'Manager of Innovation']}","{'management_level': ['Director'], 'title': ['Manager']}",No
9,Chief Archaeologist,"{'management_level': [], 'title': ['Chief Archaeologist']}","{'management_level': ['Senior'], 'title': ['Chief Archaeologist']}",No
10,VP Marine Innovation,"{'management_level': [], 'title': ['VP of Marine Innovation', 'Vice President of Marine Innovation']}","{'management_level': ['VP'], 'title': ['VP of Marine Innovation']}",No
11,Heads of marketing for social media platforms.,"{'management_level': [], 'title': ['Head of Marketing']}","{'management_level': ['Manager'], 'title': ['Head of Marketing']}",No
